ablation,setting,seed,survivable,latency,lam2,energy,budget
B_weight,W=0,14,1.0,,0.017149740297737928,,
B_weight,W=1,14,1.0,,0.019767377114405717,,
B_weight,W=2,14,1.0,,0.02004717200130521,,
B_weight,W=5,14,1.0,,0.019552367337162195,,
C_budget,frac=0.025,14,0.9925925925925926,,,0.34199240756697663,0.3553457989713751
C_budget,frac=0.035,14,1.0,,,0.49162873834047166,0.4974841185599251
C_budget,frac=0.05,14,1.0,,,0.7078670499150107,0.7106915979427502
C_budget,frac=0.07,14,1.0,,,0.9898155565733571,0.9949682371198502
A_components,none,15,0.9191176470588235,120,,,
A_components,warm-start,15,0.9779411764705882,120,,,
A_components,warm-start+pull,15,0.9852941176470589,120,,,
B_weight,W=0,15,0.9852941176470589,,0.037495684038086285,,
B_weight,W=1,15,0.9852941176470589,,0.037495684038086285,,
B_weight,W=2,15,0.9852941176470589,,0.037495684038086285,,
B_weight,W=5,15,0.9852941176470589,,0.037495684038086285,,
C_budget,frac=0.025,15,0.9852941176470589,,,0.8462580420184647,0.36385252893422937
C_budget,frac=0.035,15,0.9852941176470589,,,0.8462580420184647,0.5093935405079211
C_budget,frac=0.05,15,0.9852941176470589,,,0.8462580420184647,0.7277050578684587
C_budget,frac=0.07,15,1.0,,,0.9971446854326974,1.0187870810158421
A_components,none,17,1.0,120,,,
A_components,warm-start,17,0.9926470588235294,120,,,
A_components,warm-start+pull,17,0.9852941176470589,120,,,
B_weight,W=0,17,0.9852941176470589,,0.04484751231769573,,
B_weight,W=1,17,0.9852941176470589,,0.04484751231769573,,
B_weight,W=2,17,0.9852941176470589,,0.04484751231769573,,
B_weight,W=5,17,0.9852941176470589,,0.04484751231769573,,
C_budget,frac=0.025,17,0.9852941176470589,,,0.9381132534018233,0.3626041098192039
C_budget,frac=0.035,17,0.9852941176470589,,,0.9381132534018233,0.5076457537468855
C_budget,frac=0.05,17,0.9852941176470589,,,0.9381132534018233,0.7252082196384078
C_budget,frac=0.07,17,0.9926470588235294,,,0.9993659610579646,1.015291507493771
A_components,none,18,0.9477611940298507,17,,,
A_components,warm-start,18,0.9402985074626866,38,,,
A_components,warm-start+pull,18,1.0,105,,,
B_weight,W=0,18,0.9477611940298507,,5.236072937685069e-15,,
B_weight,W=1,18,1.0,,0.029295251505092167,,
B_weight,W=2,18,1.0,,0.03447620100353072,,
B_weight,W=5,18,1.0,,0.030619809842107666,,
C_budget,frac=0.025,18,0.9402985074626866,,,0.362333705510479,0.3680574945716322
C_budget,frac=0.035,18,1.0,,,0.5132335951873774,0.5152804924002852
C_budget,frac=0.05,18,1.0,,,0.7012690766909622,0.7361149891432645
C_budget,frac=0.07,18,1.0,,,0.9733026788533821,1.0305609848005703
A_components,none,20,0.9705882352941176,49,,,
A_components,warm-start,20,0.9705882352941176,82,,,
A_components,warm-start+pull,20,0.9926470588235294,70,,,
B_weight,W=0,20,0.9926470588235294,,0.021631002080487082,,
B_weight,W=1,20,0.9926470588235294,,0.0377874304039112,,
B_weight,W=2,20,0.9926470588235294,,0.0377874304039112,,
B_weight,W=5,20,0.9852941176470589,,0.03421715521354176,,
C_budget,frac=0.025,20,0.9705882352941176,,,0.3532013423077546,0.3552755477068945
C_budget,frac=0.035,20,0.9926470588235294,,,0.4717470643614727,0.49738576678965235
C_budget,frac=0.05,20,1.0,,,0.7024264250739941,0.710551095413789
C_budget,frac=0.07,20,0.9926470588235294,,,0.9731749620174956,0.9947715335793047
A_components,none,19,0.9485294117647058,15,,,
A_components,warm-start,19,0.9558823529411765,26,,,
A_components,warm-start+pull,19,0.9779411764705882,24,,,
B_weight,W=0,19,1.0,,0.023295129061104463,,
B_weight,W=1,19,0.9852941176470589,,0.05077702548543475,,
B_weight,W=2,19,0.9779411764705882,,0.04701016203189127,,
B_weight,W=5,19,0.9779411764705882,,0.0631200347221547,,
C_budget,frac=0.025,19,0.9558823529411765,,,0.338365286938975,0.36675296689205744
C_budget,frac=0.035,19,0.9779411764705882,,,0.47012665881235866,0.5134541536488805
C_budget,frac=0.05,19,1.0,,,0.7240735163790681,0.7335059337841149
C_budget,frac=0.07,19,1.0,,,1.012936515969059,1.026908307297761
A_components,none,21,1.0,120,,,
A_components,warm-start,21,1.0,120,,,
A_components,warm-start+pull,21,1.0,120,,,
B_weight,W=0,21,1.0,,0.05149473293509937,,
B_weight,W=1,21,1.0,,0.05149473293509937,,
B_weight,W=2,21,1.0,,0.05149473293509937,,
B_weight,W=5,21,1.0,,0.05149473293509937,,
