method,seed,gw_survivable,energy,edges,latency
QIEA-noAI,26,0.8440366972477065,3.0658777973494966,119,82
GA,26,0.9174311926605505,3.0825764195165455,119,69
SA,26,0.8486238532110092,3.080625319631512,130,0
greedy,26,0.8073394495412844,0.07769684035253213,3,3
greedy-conn,26,0.9954128440366973,1.2542243977351295,68,68
QIEA+AI,29,0.9862385321100917,4.235274190790479,167,120
QIEA-noAI,29,0.9678899082568807,4.377433281107013,170,120
GA,29,0.981651376146789,3.379924248061668,134,66
SA,29,0.9541284403669725,3.377636597636042,150,0
greedy,29,0.8899082568807339,0.08181181373752874,4,4
greedy-conn,29,1.0,0.7044967365813564,42,42
QIEA+AI,27,0.8669724770642202,3.7557520134771436,144,120
QIEA-noAI,27,0.7935779816513762,3.6005372367460398,136,120
GA,27,0.8990825688073395,3.235233458168091,135,81
SA,27,0.8440366972477065,3.2535446908166614,141,2640
greedy,27,0.7752293577981652,0.055151529821899414,3,3
greedy-conn,27,0.9954128440366973,1.4477532043134296,82,82
QIEA+AI,28,0.8256880733944955,2.879888376608748,113,68
QIEA-noAI,28,0.7568807339449541,2.7716995870000707,104,59
GA,28,0.8165137614678899,2.848757058087835,116,73
SA,28,0.8027522935779816,2.8879365803930184,128,2213
greedy,28,0.7385321100917431,0.061468521158984026,3,3
greedy-conn,28,0.9678899082568807,1.6512053184391484,85,85
QIEA+AI,30,0.9311926605504587,3.714240288995567,142,120
QIEA-noAI,30,0.8715596330275229,3.5316208367372703,131,120
GA,30,0.9724770642201835,2.8628758277755155,117,55
SA,30,0.9220183486238532,2.9159403146873193,130,2327
greedy,30,0.8394495412844036,0.13854787157094683,6,6
greedy-conn,30,1.0,1.1291956785913138,62,62
QIEA+AI,31,0.8165137614678899,3.2881095646858425,123,120
QIEA-noAI,31,0.7935779816513762,3.2398020061971597,118,120
GA,31,0.8715596330275229,2.993086925468784,117,52
SA,31,0.8073394495412844,2.99269795924616,128,2460
greedy,31,0.7568807339449541,0.017293864849452657,1,1
greedy-conn,31,0.9954128440366973,1.6009757977303813,86,86
QIEA+AI,32,0.7752293577981652,3.0025661242975317,119,112
QIEA-noAI,32,0.7477064220183486,3.002765953680653,117,104
GA,32,0.9036697247706422,2.993932156203674,123,68
SA,32,0.8669724770642202,2.9900554385991667,134,2565
greedy,32,0.0,0.0,0,0
greedy-conn,32,0.9908256880733946,1.5207081050887155,82,82
QIEA+AI,34,0.9036697247706422,3.7174573138276785,143,120
QIEA-noAI,34,0.8165137614678899,3.4712613064264755,133,120
GA,34,0.926605504587156,3.1500951788302314,122,63
SA,34,0.8486238532110092,3.1621789698592098,144,4214
greedy,34,0.7660550458715596,0.11324211081742985,6,6
greedy-conn,34,0.9862385321100917,1.4399331835409659,77,77
QIEA+AI,35,0.8899082568807339,3.7852295842612698,146,120
QIEA-noAI,35,0.8348623853211009,3.418333168513892,126,120
GA,35,0.8807339449541285,3.2058914826624423,130,98
SA,35,0.8853211009174312,3.2135681706962367,138,24
greedy,35,0.8165137614678899,0.040444622341670476,2,2
greedy-conn,35,1.0,1.1832642086425098,66,66
QIEA+AI,33,0.9036697247706422,3.9530217722009153,152,120
QIEA-noAI,33,0.8027522935779816,3.5286296952388865,142,120
GA,33,0.908256880733945,3.158133407247079,131,71
SA,33,0.8348623853211009,3.2324367897427075,143,2484
greedy,33,0.7614678899082569,0.02743834512217816,2,2
greedy-conn,33,1.0,1.6004752479267652,84,84
QIEA+AI,36,0.9541284403669725,4.0594279464014695,156,120
QIEA-noAI,36,0.7981651376146789,3.767879537533155,145,120
GA,36,0.9541284403669725,3.069089048606257,125,52
SA,36,0.8944954128440367,3.139292174464324,133,2875
greedy,36,0.8348623853211009,0.22954060720577996,10,10
greedy-conn,36,1.0,1.1260231034692958,63,63
QIEA+AI,37,0.9495412844036697,4.1066079559057185,151,120
QIEA-noAI,37,0.8853211009174312,4.0941754648897275,154,120
GA,37,0.9311926605504587,3.427625657968103,131,72
SA,37,0.8807339449541285,3.4417698389193676,149,0
greedy,37,0.8119266055045872,0.029741343913110632,2,2
